Date,Model,Asset,Weight,Vol90d,Mcap,RawWeight,Note
2023-01-01,MCW_Cap40,ETH,0.4,,143998617443.21307,0.27053662658464783,mcw_cap_40
2023-01-01,MCW_Cap40,XRP,0.05693727149613639,,18305274155.88605,0.03439093518237079,mcw_cap_40
2023-04-02,AXIS_IVW,ADA,0.18141088391982535,0.11684226172627135,13761085578.067944,,ivw_weights
2023-04-02,AXIS_IVW,BNB,0.21686620077594582,0.09773979487404529,46392161809.92542,,ivw_weights
2023-04-02,AXIS_IVW,BTC,0.23196243219630935,0.09137884000550549,556086744648.6885,,ivw_weights
2023-04-02,AXIS_IVW,ETH,0.18470804963967022,0.11475654699567597,219014533430.8652,,ivw_weights
2023-04-02,AXIS_IVW,XRP,0.18505243346824943,0.11454298428661988,27066491178.57238,,ivw_weights
2023-04-02,MCW_Cap40,ADA,0.03155498010938322,,13761085578.067944,0.015958193424984373,mcw_cap_40
2023-04-02,MCW_Cap40,BNB,0.10637996071157466,,46392161809.92542,0.05379917793301784,mcw_cap_40
2023-04-02,MCW_Cap40,BTC,0.40000000000000013,,556086744648.6885,0.6448720765400249,mcw_cap_40
2023-04-02,MCW_Cap40,ETH,0.40000000000000013,,219014533430.8652,0.2539825995227305,mcw_cap_40
2023-04-02,MCW_Cap40,XRP,0.062065059179041975,,27066491178.57238,0.03138795257924227,mcw_cap_40
2023-07-02,AXIS_IVW,BNB,0.22610646816783475,0.09139621863919442,36465619567.24989,,ivw_weights
2023-07-02,AXIS_IVW,BTC,0.23589735693404443,0.08760283060815036,596576123578.3323,,ivw_weights
2023-07-02,AXIS_IVW,ETH,0.19637035734260522,0.1052362305597326,231069682727.27103,,ivw_weights
2023-07-02,AXIS_IVW,SOL,0.12032942212308725,0.1717391792945251,10850726737.1181,,ivw_weights
2023-07-02,AXIS_IVW,XRP,0.22129639543242827,0.09338279622685275,25102272157.083195,,ivw_weights
2023-07-02,MCW_Cap40,BNB,0.10070785757024826,,36465619567.24989,0.040514454925476645,mcw_cap_40
2023-07-02,MCW_Cap40,BTC,0.4,,596576123578.3323,0.6628149132021656,mcw_cap_40
2023-07-02,MCW_Cap40,ETH,0.4,,231069682727.27103,0.2567257147032271,mcw_cap_40
2023-07-02,MCW_Cap40,SOL,0.029966676988995578,,10850726737.1181,0.012055500071482522,mcw_cap_40
2023-07-02,MCW_Cap40,XRP,0.06932546544075613,,25102272157.083195,0.027889417097648216,mcw_cap_40
2023-10-01,AXIS_IVW,BNB,0.236174925863965,0.0877778168245979,31561039929.40009,,ivw_weights
2023-10-01,AXIS_IVW,BTC,0.24735432346129269,0.08381062069567663,526339346763.1733,,ivw_weights
2023-10-01,AXIS_IVW,ETH,0.19938229809215688,0.10397572692971985,200844514445.2346,,ivw_weights
2023-10-01,AXIS_IVW,SOL,0.12251944929178873,0.16920513029468454,12407979427.597055,,ivw_weights
2023-10-01,AXIS_IVW,XRP,0.1945690032907968,0.10654790347086436,27327750290.233315,,ivw_weights
2023-10-01,MCW_Cap40,BNB,0.08853427745902394,,31561039929.40009,0.0395263688432615,mcw_cap_40
2023-10-01,MCW_Cap40,BTC,0.3999999999999999,,526339346763.1733,0.6591760982344143,mcw_cap_40
2023-10-01,MCW_Cap40,ETH,0.3999999999999999,,200844514445.2346,0.251533358085359,mcw_cap_40
2023-10-01,MCW_Cap40,SOL,0.03480656834521547,,12407979427.597055,0.015539487055936316,mcw_cap_40
2023-10-01,MCW_Cap40,XRP,0.07665915419576058,,27327750290.233315,0.03422468778102903,mcw_cap_40
2024-01-07,AXIS_IVW,BNB,0.24353308798054035,0.08133146173303704,45289753693.79592,,ivw_weights
2024-01-07,AXIS_IVW,BTC,0.2416620285490796,0.08196116760558865,858618137347.239,,ivw_weights
2024-01-07,AXIS_IVW,ETH,0.20626850307175637,0.09602484979942509,269535951350.15967,,ivw_weights
2024-01-07,AXIS_IVW,SOL,0.11243077825435756,0.17616974936353774,54487183819.08669,,ivw_weights
2024-01-07,AXIS_IVW,XRP,0.19610560214426617,0.10100120450024984,30176591431.3465,,ivw_weights
2024-01-07,MCW_Cap40,BNB,0.06970146030160132,,45289753693.79592,0.035998314499274195,mcw_cap_40
2024-01-07,MCW_Cap40,BTC,0.4,,858618137347.239,0.6824679584698427,mcw_cap_40
2024-01-07,MCW_Cap40,ETH,0.4,,269535951350.15967,0.2142391855598295,mcw_cap_40
2024-01-07,MCW_Cap40,SOL,0.083856412768091,,54487183819.08669,0.04330884183121398,mcw_cap_40
2024-01-07,MCW_Cap40,XRP,0.04644212693030768,,30176591431.3465,0.023985699639839802,mcw_cap_40
2024-04-07,AXIS_IVW,BNB,0.23952182997961258,0.07438182085860232,86153722300.10794,,ivw_weights
2024-04-07,AXIS_IVW,BTC,0.2434446389065992,0.07318324991376589,1345029604474.9404,,ivw_weights
2024-04-07,AXIS_IVW,ETH,0.2153682489237554,0.08272375309870018,403056899280.1773,,ivw_weights
2024-04-07,AXIS_IVW,SOL,0.10611259702928914,0.16789778356240365,103751676688.9073,,ivw_weights
2024-04-07,AXIS_IVW,XRP,0.1955526851607437,0.0911062399098401,31469384084.405952,,ivw_weights
2024-04-07,MCW_Cap40,BNB,0.08278284853392957,,86153722300.10794,0.04374481634967445,mcw_cap_40
2024-04-07,MCW_Cap40,BTC,0.4,,1345029604474.9404,0.6829429009193003,mcw_cap_40
2024-04-07,MCW_Cap40,ETH,0.38728678637283237,,403056899280.1773,0.20465337499942818,mcw_cap_40
2024-04-07,MCW_Cap40,SOL,0.09969226061481831,,103751676688.9073,0.052680231585552316,mcw_cap_40
2024-04-07,MCW_Cap40,XRP,0.030238104478419826,,31469384084.405952,0.015978676146044844,mcw_cap_40
