Date,BTC_Price,BTC_Market_Cap,ETH_Price,ETH_Market_Cap,SOL_Price,SOL_Market_Cap,BNB_Price,BNB_Market_Cap,XRP_Price,XRP_Market_Cap,ADA_Price,ADA_Market_Cap,DOGE_Price,DOGE_Market_Cap,AVAX_Price,AVAX_Market_Cap,TRX_Price,TRX_Market_Cap,DOT_Price,DOT_Market_Cap
2022-01-16,43197.25650241013,842346501796.9974,3334.149864060241,400097983687.2289,147.89311298261663,85778005529.91765,495.8563195417205,72890878972.63292,0.7817040639479808,41430315389.24298,1.2961411783821042,45364941243.37365,0.185164221185251,26663647850.676144,93.47617006862552,42064276530.881485,0.0686504533159091,6041239891.800001,27.77391545645561,36106090093.392296
2022-01-23,35174.168591980866,685896287543.6268,2416.6010196347506,289992122356.1701,94.89481193440386,55038990921.95424,359.8821463914542,52902675519.54377,0.5987885422034228,31735792736.78141,1.0711700163082307,37490950570.78808,0.133530219175423,19228351561.26091,60.00197554920383,27000888997.141724,0.0569837252812969,5014567824.7541275,18.305413886419007,23797038052.34471
2022-01-30,38240.32134974873,745686266320.1002,2602.4089488043546,312289073856.5226,96.2595292187684,55830526946.88567,390.36615509441066,57383824798.878365,0.6185528393675326,32783300486.479225,1.0618252782321225,37163884738.12428,0.1433304163068809,20639579948.19085,72.21062981309791,32494783415.89406,0.0604779207877792,5322057029.32457,18.758701445008363,24386311878.51087
2022-02-06,41474.36291923652,808750076925.112,3018.5923693264954,362231084319.17944,113.91890022515568,66072962130.590294,414.66938300637145,60956399301.9366,0.667787824632124,35392754705.50257,1.128006436445754,39480225275.601395,0.147120604265015,21185367014.16216,77.33078024326511,34798851109.4693,0.0648346543946229,5705449586.726815,21.382338166078505,27797039615.902058
2022-02-13,42347.29305812986,825772214633.5322,2925.044183663944,351005302039.6733,96.10833714342623,55742835543.18721,405.10648599983386,59550653441.97558,0.8248427728097045,43716666958.91434,1.060546709212849,37119134822.44972,0.1447946750360083,20850433205.185192,81.465694681539,36659562606.69255,0.0636195481194051,5598520234.507648,18.87447615288579,24536818998.75153
2022-02-20,40218.913639647784,784268815973.1318,2770.4181294047175,332450175528.5661,91.50159032953046,53070922391.12766,401.1928334850114,58975346522.29668,0.8242946894478652,43687618540.736855,0.999849798043709,34994742931.529816,0.1414074456247942,20362672169.970367,85.26153451667471,38367690532.503624,0.0637038028482915,5605934650.649652,17.916244147201013,23291117391.361317
2022-02-27,39176.060222279106,763933174334.4425,2784.3994954416926,334127939453.0031,90.15117821623181,52287683365.41445,374.473182383517,55047557810.377,0.7517712434604633,39843875903.40456,0.8885040024539841,31097640085.889442,0.1278123110286946,18404972788.13202,81.88956695874626,36850305131.435814,0.059693488842845,5253027018.17036,18.04371121040611,23456824573.527943
2022-03-06,39487.91412957269,770014325526.6674,2671.2111697623627,320545340371.4835,89.82910111048567,52100878644.08169,385.7823198453491,56710001017.26632,0.7560622255119588,40071297952.13381,0.867030119467536,30346054181.36376,0.1252415757770165,18034786911.890377,76.90322937518388,34606453218.83275,0.0605213888093079,5325882215.219095,17.357294650793612,22564483046.031696
2022-03-13,38893.27332893673,758418829914.2662,2575.4606689091856,309055280269.1023,81.31935443500628,47165225572.30364,373.25200740590685,54868045088.668304,0.7865337060474945,41686286420.51721,0.7905537067670438,27669379736.846535,0.1150228549112973,16563291107.22681,71.0178552242672,31958034850.92024,0.0597209961621603,5255447662.270106,18.15713772184087,23604279038.393127
2022-03-20,42253.16645039651,823936745782.7319,2953.7740495031785,354452885940.3814,92.45179468350138,53622040916.4308,400.5759273547782,58884661321.15239,0.8200374176425326,43461983135.05423,0.9028012466993178,31598043634.476124,0.1236742384102752,17809090331.079628,89.71260555035626,40370672497.66032,0.0619233133734706,5449251576.865413,19.40340129626712,25224421685.147255
2022-03-27,44609.40365865711,869883371343.8136,3151.414267817601,378169712138.1121,101.91711137015056,59111924594.687325,417.15710082551254,61322093821.35034,0.8344158027675224,44224037546.67869,1.154979747761419,40424291171.649666,0.1363320237893042,19631811425.659805,86.12590196972822,38756655886.3777,0.0663855350585157,5841927085.149382,20.945007388418794,27228509604.94443
2022-04-03,45919.64190495171,895433017146.5585,3449.6880955112524,413962571461.3503,132.5804183970524,76896642670.29039,438.0401971198551,64391908976.618706,0.8259992574378692,43777960644.20707,1.1585292410530024,40548523436.85508,0.1389918461723674,20014825848.820904,96.25825138749154,43316213124.37119,0.0733438847813363,6454261860.757594,22.66076877036404,29458999401.47325
2022-04-10,42860.718687993016,835784014415.8638,3268.6606487007657,392239277844.09186,113.16300704910644,65634544088.481735,427.8795132074056,62898288441.48862,0.7644982890514141,40518409319.72495,1.047299422250668,36655479778.77338,0.1445389484688839,20813608579.519283,84.77672275022717,38149525237.60223,0.0641013774463288,5640921215.276934,19.807056178572758,25749173032.144585
2022-04-17,40460.0846898496,788971651452.0673,3065.2549581013063,367830594972.15674,102.22790389311508,59292184258.00675,417.81064201119585,61418164375.64579,0.7824856325307638,41471738524.13048,0.9527611177573112,33346639121.505894,0.1438409331176555,20713094368.94239,77.92271580089155,35065222110.4012,0.0619940462510707,5455476070.094222,18.643019795412123,24235925734.03576
